"Id","SalePrice"
1461,130319.079058993
1462,167685.830107951
1463,186769.126286699
1464,189792.015729922
1465,204597.905994922
1466,176961.867399263
1467,158336.012471854
1468,167891.761938143
1469,185853.943024217
1470,120955.606877851
1471,185920.50858302
1472,99390.6767322614
1473,101514.642501904
1474,148068.771897323
1475,126926.380272083
1476,380700.747781009
1477,269372.881233788
1478,318193.585905901
1479,325574.181315664
1480,426040.348135998
1481,322250.429597881
1482,217268.308757409
1483,199235.41512963
1484,166811.994669124
1485,170666.418179777
1486,197546.689755509
1487,362058.947010678
1488,263639.986358845
1489,203348.135326211
1490,228932.201658
1491,197536.933725718
1492,96913.1224094772
1493,167617.451466998
1494,293317.822908053
1495,293033.020266461
1496,223118.726428531
1497,188682.89023282
1498,155243.7875521
1499,154336.620169108
1500,152019.077829109
1501,165913.288723652
1502,147279.494318602
1503,280491.142137208
1504,232474.790981686
1505,217735.518399847
1506,194958.517925192
1507,252416.5424501
1508,216361.606841841
1509,164468.558254138
1510,149527.678334917
1511,149575.274923808
1512,177549.719397558
1513,158694.670195218
1514,151205.242894134
1515,189836.680258824
1516,153927.121902784
1517,153505.875679621
1518,145335.522698005
1519,203184.713479578
1520,134595.071648957
1521,142220.395321281
1522,164103.16699787
1523,121705.890676287
1524,125487.226866814
1525,123869.625814482
1526,124861.404454849
1527,91815.0076740745
1528,124408.866876308
1529,140141.080661301
1530,157144.03496224
1531,108030.572860347
1532,85926.1337162277
1533,157430.913296893
1534,115660.441560638
1535,153150.439633758
1536,114474.103119273
1537,105278.50455483
1538,158403.207703798
1539,196361.307459452
1540,132354.607501366
1541,142424.014902954
1542,146999.734924954
1543,185401.997283088
1544,96120.7243959379
1545,118733.214020158
1546,127157.443496983
1547,141246.10806926
1548,136810.995664869
1549,120601.492770669
1550,138678.361643326
1551,108470.487072498
1552,136358.39923045
1553,142612.915494893
1554,113523.930615197
1555,173620.360441065
1556,117418.485603872
1557,118723.810339406
1558,106158.503884832
1559,122739.945204713
1560,124583.583114167
1561,155776.816651362
1562,127048.053769739
1563,119706.982010404
1564,145687.330492747
1565,153377.251691791
1566,219375.798946964
1567,87354.6606988308
1568,220864.147066075
1569,144631.505838702
1570,129033.419303137
1571,104139.216239399
1572,132110.739844472
1573,229219.104232787
1574,148733.16628789
1575,201433.942476785
1576,216210.707283357
1577,185274.758267831
1578,127718.590256274
1579,151419.507983552
1580,190157.660132986
1581,145667.923647993
1582,123735.283613514
1583,293774.548570256
1584,229025.615598378
1585,140328.282387623
1586,71509.067643606
1587,107405.253563552
1588,142558.262201477
1589,113905.715972443
1590,142041.7683475
1591,101283.140882544
1592,112545.390548546
1593,109034.889349091
1594,153791.154536087
1595,129536.785707158
1596,224336.772979422
1597,188649.045707168
1598,215409.023045828
1599,171021.304404167
1600,180745.351157118
1601,85771.1973985699
1602,113217.822362139
1603,79432.6069387085
1604,261546.125088689
1605,241900.019190805
1606,172136.396725608
1607,222803.812664519
1608,211251.368614475
1609,185182.081157877
1610,159198.843475194
1611,145876.781159991
1612,203429.788435122
1613,176183.46266108
1614,112241.737548438
1615,85317.1168353851
1616,85763.7633843292
1617,92617.4132265042
1618,116843.945910117
1619,137346.950577359
1620,202022.14624777
1621,155339.631950717
1622,137748.525616806
1623,239826.577580064
1624,215164.233360048
1625,131273.840384818
1626,166800.592860076
1627,182828.300466826
1628,256817.905333064
1629,167200.450149624
1630,331876.196122495
1631,216281.179463723
1632,250123.709792366
1633,159802.07690168
1634,182731.777645523
1635,172151.623859555
1636,163004.355081859
1637,198117.629809039
1638,211974.373744634
1639,180965.269099822
1640,249183.404345567
1641,174439.040680778
1642,235776.528043881
1643,237737.435576393
1644,231850.270789938
1645,175571.592655217
1646,149508.355809353
1647,160774.5515675
1648,145687.355429936
1649,134918.287967622
1650,117352.641051953
1651,120143.292500055
1652,100153.114323491
1653,100115.639369537
1654,143592.842971231
1655,143998.326042799
1656,143460.569717481
1657,144519.568891544
1658,145796.834513481
1659,127435.864976142
1660,144709.622461052
1661,431000.395273923
1662,370787.163448755
1663,369748.668583316
1664,407391.679468172
1665,336938.019272735
1666,318974.863832487
1667,377020.820626088
1668,340011.291068026
1669,299757.84216716
1670,346879.193317893
1671,253244.732254984
1672,406176.380248805
1673,310089.519212023
1674,272704.645303051
1675,197978.298651675
1676,196937.487011693
1677,208041.121240827
1678,404722.082482336
1679,363385.856846713
1680,324735.679345516
1681,273796.411299783
1682,302977.783496685
1683,199909.075288582
1684,181436.502022456
1685,175592.375656548
1686,171965.647391041
1687,165625.956822339
1688,192210.926278686
1689,192861.991453433
